ds,sls
11-Dec-2016,5298014.21
12-Dec-2016,4991035.51
13-Dec-2016,5581539.48
14-Dec-2016,9730758.58
15-Dec-2016,8717192.65
16-Dec-2016,10460961.85
17-Dec-2016,11438666.85
18-Dec-2016,9061476.04
19-Dec-2016,8326073.90
20-Dec-2016,10149345.72
21-Dec-2016,8242116.54
22-Dec-2016,9138545.95
23-Dec-2016,10680434.40
24-Dec-2016,7657588.92
26-Dec-2016,5393435.95
27-Dec-2016,4170982.92
28-Dec-2016,4317210.07
29-Dec-2016,5047029.80
30-Dec-2016,5958666.93
31-Dec-2016,4944040.59
1-Jan-2017,1936033.43
2-Jan-2017,3565155.36
3-Jan-2017,3614019.18
4-Jan-2017,3829671.02
5-Jan-2017,3896829.22
6-Jan-2017,4359372.36
7-Jan-2017,3579653.68
8-Jan-2017,2875721.65
9-Jan-2017,3160846.39
10-Jan-2017,3706723.25
11-Jan-2017,3682893.03
12-Jan-2017,4361748.43
13-Jan-2017,6152977.03
14-Jan-2017,5731641.35
15-Jan-2017,4307843.56
16-Jan-2017,4125909.90
17-Jan-2017,3408634.72
18-Jan-2017,3528048.29
19-Jan-2017,3682916.62
20-Jan-2017,3967524.83
21-Jan-2017,4211521.90
22-Jan-2017,3094702.16
23-Jan-2017,2911622.38
24-Jan-2017,3257557.96
25-Jan-2017,4733387.94
26-Jan-2017,4029206.05
27-Jan-2017,4592154.69
28-Jan-2017,5016287.00
29-Jan-2017,3644819.72
30-Jan-2017,2891657.01
31-Jan-2017,3736491.45
1-Feb-2017,5501361.82
2-Feb-2017,5079541.77
3-Feb-2017,5807342.05
4-Feb-2017,6672415.59
5-Feb-2017,4574142.79
6-Feb-2017,3843494.64
7-Feb-2017,4748319.05
8-Feb-2017,3798736.43
9-Feb-2017,3689583.65
10-Feb-2017,4522032.97
11-Feb-2017,4942943.33
12-Feb-2017,3879156.16
13-Feb-2017,4499821.45
14-Feb-2017,5304253.17
15-Feb-2017,4265635.62
16-Feb-2017,4199645.10
17-Feb-2017,5276998.06
18-Feb-2017,5305271.25
19-Feb-2017,4167313.63
20-Feb-2017,3608340.67
21-Feb-2017,3447214.38
22-Feb-2017,5008201.84
23-Feb-2017,4884163.12
24-Feb-2017,5434680.30
25-Feb-2017,5582529.84
26-Feb-2017,4394512.16
27-Feb-2017,3366502.27
28-Feb-2017,4371125.96
1-Mar-2017,4292808.48
2-Mar-2017,4464094.48
3-Mar-2017,5372352.48
4-Mar-2017,5335444.74
5-Mar-2017,4093661.28
6-Mar-2017,3578991.52
7-Mar-2017,3795221.80
8-Mar-2017,4071210.65
9-Mar-2017,4184776.66
10-Mar-2017,4815523.54
11-Mar-2017,5088589.24
12-Mar-2017,3949574.65
13-Mar-2017,3388540.16
14-Mar-2017,3664450.94
15-Mar-2017,6578988.49
16-Mar-2017,5671290.28
17-Mar-2017,6564631.48
18-Mar-2017,7191584.73
19-Mar-2017,5665252.84
20-Mar-2017,4534960.74
21-Mar-2017,5271617.84
22-Mar-2017,4035459.02
23-Mar-2017,4066797.89
24-Mar-2017,4797438.26
25-Mar-2017,4894896.05
26-Mar-2017,3858569.81
27-Mar-2017,3796634.34
28-Mar-2017,3868004.80
29-Mar-2017,5936955.60
30-Mar-2017,5251218.68
31-Mar-2017,6934356.93
1-Apr-2017,6906979.26
2-Apr-2017,5364883.68
3-Apr-2017,3489892.61
4-Apr-2017,3774101.71
5-Apr-2017,4008016.24
6-Apr-2017,3731568.06
7-Apr-2017,4830673.66
8-Apr-2017,4875010.99
9-Apr-2017,3872090.75
10-Apr-2017,3693394.48
11-Apr-2017,3915423.16
12-Apr-2017,4808474.69
13-Apr-2017,5244207.48
14-Apr-2017,6155064.06
15-Apr-2017,6510532.73
16-Apr-2017,3439865.99
17-Apr-2017,3720493.85
18-Apr-2017,3753872.37
19-Apr-2017,5085787.57
20-Apr-2017,4517605.61
21-Apr-2017,5607520.05
22-Apr-2017,5813407.76
23-Apr-2017,4723805.95
24-Apr-2017,3856044.31
25-Apr-2017,4263031.11
26-Apr-2017,5694248.21
27-Apr-2017,5114808.09
28-Apr-2017,6576711.44
29-Apr-2017,7062757.43
30-Apr-2017,5771203.55
1-May-2017,5001622.93
2-May-2017,5715589.93
3-May-2017,4382270.73
4-May-2017,4334068.00
5-May-2017,4902717.74
6-May-2017,4997067.54
7-May-2017,3851441.24
8-May-2017,3654119.31
9-May-2017,3820412.13
10-May-2017,4571466.31
11-May-2017,4544585.79
12-May-2017,6315411.90
13-May-2017,7074430.88
14-May-2017,4699204.45
15-May-2017,4075641.23
16-May-2017,4378592.93
17-May-2017,5098568.52
18-May-2017,4551343.81
19-May-2017,5246976.28
20-May-2017,5638945.38
21-May-2017,4260978.42
22-May-2017,3777639.69
23-May-2017,4001891.20
24-May-2017,5739364.06
25-May-2017,5617626.53
26-May-2017,6520623.98
27-May-2017,6274470.32
28-May-2017,5067688.04
29-May-2017,4378239.27
30-May-2017,4341133.51
31-May-2017,4773729.19
1-Jun-2017,4633051.96
2-Jun-2017,5152661.80
3-Jun-2017,5193262.44
4-Jun-2017,4026669.07
5-Jun-2017,3815215.13
6-Jun-2017,4005843.01
7-Jun-2017,4236166.79
8-Jun-2017,4197458.66
9-Jun-2017,5042224.77
