,ds,yhat
163,2016-07-12,6.600807067611433
164,2016-07-13,6.660818216594724
165,2016-07-14,6.644377737723243
166,2016-07-15,6.850733115898428
167,2016-07-16,6.849456506698847
168,2016-07-17,6.740454148609767
169,2016-07-18,6.652080013676463
170,2016-07-19,6.683284143985303
171,2016-07-20,6.6798626744437755
172,2016-07-21,6.704062296777499
173,2016-07-22,6.684289496716687
174,2016-07-23,6.72993168298341
175,2016-07-24,6.621067989942309
176,2016-07-25,6.569543838638856
177,2016-07-26,6.597891877451671
178,2016-07-27,6.663048797736113
179,2016-07-28,6.6516928501913455
180,2016-07-29,6.732066388803283
181,2016-07-30,6.7472213809936585
182,2016-07-31,6.6397984479352266
183,2016-08-01,6.589356704564034
184,2016-08-02,6.618416623511571
185,2016-08-03,6.68360934079461
