,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,holiday,holiday_lower,holiday_upper,scratch,scratch_lower,scratch_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
245,2016-10-02,0.4260869565217391,6.6601410274636015,-0.09114176669026945,0.01593127818628487,6.605638073590237,6.710524052696648,6.541608305437966,6.695843089153264,0.0,0.0,0.0,0.0,0.0,0.0,-0.026282572251684913,-0.033956556095518814,-0.018918830448930786,-0.014091716876992894,-0.06844878788976146,0.04541290809613781,-0.040374289128677805,6.619766738334923
246,2016-10-03,0.42782608695652175,6.6599851688064575,-0.1479466786967252,-0.030859502584320294,6.6064198413329365,6.710277469991397,6.484077083316105,6.653617655331837,0.0,0.0,0.0,0.0,0.0,0.0,-0.07980550253541775,-0.08838855692857264,-0.07177103443819033,-0.014953086311995543,-0.06734824249378817,0.04584273546466696,-0.0947585888474133,6.565226579959044
247,2016-10-04,0.4295652173913043,6.659829310149313,-0.12565185313008292,-0.008788647573996325,6.608397697468303,6.710537649107827,6.510991266696716,6.667853484985706,0.0,0.0,0.0,0.0,0.0,0.0,-0.05376511415488497,-0.061787113179162745,-0.04536621325191046,-0.01589631244762236,-0.06749811372204269,0.04585403222387581,-0.06966142660250732,6.590167883546806
248,2016-10-05,0.43130434782608695,6.659673451492169,-0.06151280617660911,0.0530966829634874,6.609352870488182,6.710923793090998,6.566831451854692,6.7324183371703334,0.0,0.0,0.0,0.0,0.0,0.0,0.008821746460667395,0.0006252680137417727,0.017501702357131332,-0.016915273294247767,-0.06793634144301902,0.04264278071620347,-0.008093526833580372,6.651579924658589
249,2016-10-06,0.4330434782608696,6.659517592835025,-0.07892759664874643,0.035248177711132256,6.609636688478533,6.710487159744316,6.5602439259695915,6.708841858769019,0.0,0.0,0.0,0.0,0.0,0.0,-0.005316020281696315,-0.014348843824479708,0.0036386771331627338,-0.018001663537714534,-0.06983337420129265,0.04168131555737245,-0.02331768381941085,6.636199909015614
250,2016-10-07,0.43478260869565216,6.65936173417788,0.0016156000828111004,0.10957136531472345,6.610323373364152,6.710566574065626,6.631251126062511,6.7911335938936555,0.0,0.0,0.0,0.0,0.0,0.0,0.07211757569336691,0.06406464218382184,0.08003422296904453,-0.019144912678351635,-0.0711444491855814,0.03996799155836264,0.05297266301501527,6.712334397192895
251,2016-10-08,0.4365217391304348,6.659205875520736,0.006794004076850745,0.12055216342787624,6.6102801698449065,6.710645988386935,6.637044636276223,6.799986889922101,0.0,0.0,0.0,0.0,0.0,0.0,0.08422988706956375,0.07582300828106235,0.09289783288256903,-0.020332153955035636,-0.07380166094419333,0.03761046572728999,0.06389773311452811,6.723103608635264
252,2016-10-09,0.43826086956521737,6.659050016863592,-0.09868661210498149,0.010008296725499875,6.610152783766418,6.710724210625737,6.528583735900805,6.688488082430526,0.0,0.0,0.0,0.0,0.0,0.0,-0.02628257225187976,-0.033956556095716316,-0.0189188304491133,-0.02154825103330885,-0.07478132015364126,0.035808747405701224,-0.04783082328518861,6.611219193578403
253,2016-10-10,0.44,6.658894158206447,-0.1567164655241029,-0.043517804948670476,6.610025251539303,6.710590860432305,6.477727648668663,6.634343320005021,0.0,0.0,0.0,0.0,0.0,0.0,-0.0798055025354649,-0.08838855692860696,-0.07177103443822767,-0.022775887793262086,-0.07619724072714633,0.033257903116528195,-0.10258139032872698,6.55631276787772
254,2016-10-11,0.44173913043478263,6.658738299549303,-0.13100042333379625,-0.024115366854427542,6.609765405713961,6.710670756469761,6.500379748635455,6.666765178571875,0.0,0.0,0.0,0.0,0.0,0.0,-0.05376511415499654,-0.061787113179355736,-0.04536621325200533,-0.02399572460359893,-0.07700174798228124,0.02964465123956242,-0.07776083875859546,6.580977460790708
255,2016-10-12,0.4434782608695652,6.658582440892158,-0.07002057927539572,0.03531384219917345,6.608731266388113,6.710750652507219,6.563693167340318,6.72294555708816,0.0,0.0,0.0,0.0,0.0,0.0,0.008821746460687906,0.0006252680137507161,0.017501702357146643,-0.025186622273469104,-0.07830758931970982,0.02665716859239234,-0.016364875812781197,6.6422175650793776
256,2016-10-13,0.44521739130434784,6.658426582235014,-0.0859579253416948,0.020491828619257236,6.607827767634525,6.710720652339865,6.549609197633003,6.707007758272671,0.0,0.0,0.0,0.0,0.0,0.0,-0.005316020281658938,-0.014348843824434656,0.0036386771331948587,-0.026325932506160932,-0.07984860570307031,0.024630335805466242,-0.03164195278781987,6.626784629447195
257,2016-10-14,0.4469565217391304,6.65827072357787,0.11881836530172826,0.2309490748429133,6.607221526301076,6.710438487547892,6.750907875346006,6.912430556025988,0.0,0.0,0.0,0.13100593582818368,0.10839287869842806,0.1525510994132802,0.07211757569339855,0.06406464218385298,0.08003422296907121,-0.027389851218437896,-0.08170876990237487,0.024797878385860752,0.17573366030314433,6.834004383881015
